data_entrada,data_saida,tipo,preco_entrada,preco_saida,tamanho,pnl,pnl_pct,regime_entrada,motivo
2026-04-02 02:40:00,2026-04-02 03:15:00,COMPRA,1.099,1.104625,8644.222020018198,48.62374886260113,0.5118289353958014,NEUTRO,TAKE_PROFIT
2026-04-02 03:20:00,2026-04-02 04:55:00,COMPRA,1.102,1.0978214285714287,8662.606680053967,-36.197320770224906,-0.3791807103966751,NEUTRO,STOP_LOSS
2026-04-02 11:30:00,2026-04-02 11:35:00,COMPRA,1.071,1.0783928571428572,8881.237261146367,65.65771832347673,0.6902761104441967,NEUTRO,TAKE_PROFIT
2026-04-02 11:45:00,2026-04-02 12:20:00,COMPRA,1.071,1.0812857142857144,8939.477067315649,91.94890697810479,0.9603841536614748,NEUTRO,TAKE_PROFIT
2026-04-02 12:40:00,2026-04-02 14:10:00,COMPRA,1.084,1.09525,8912.851845686586,100.26958326397471,1.0378228782287886,NEUTRO,TAKE_PROFIT
2026-04-02 14:35:00,2026-04-02 15:35:00,COMPRA,1.096,1.0890357142857143,8902.178380314812,-61.99731372005044,-0.6354275286757125,NEUTRO,STOP_LOSS
2026-04-02 15:45:00,2026-04-02 16:30:00,COMPRA,1.1,1.0914285714285714,8816.263687991806,-75.56797446850214,-0.7792207792207889,BULLISH,STOP_LOSS
2026-04-02 17:30:00,2026-04-02 18:00:00,COMPRA,1.094,1.0889642857142858,8798.994955252203,-44.309224596090644,-0.4603029511621749,NEUTRO,STOP_LOSS
2026-04-02 19:05:00,2026-04-02 19:20:00,COMPRA,1.1,1.1102857142857143,8712.733379708749,89.61668619128977,0.9350649350649328,BULLISH,TAKE_PROFIT
2026-04-02 19:40:00,2026-04-02 19:55:00,COMPRA,1.111,1.1034285714285714,8703.098622467462,-65.89488957011054,-0.681496721100679,BULLISH,STOP_LOSS
2026-04-02 20:00:00,2026-04-02 21:35:00,COMPRA,1.108,1.1227857142857143,8670.164643023234,128.19457722184234,1.334450747808136,BULLISH,TAKE_PROFIT
2026-04-02 21:40:00,2026-04-02 22:05:00,COMPRA,1.121,1.1353571428571427,8678.258048912126,124.59499055937886,1.2807442334649939,BULLISH,TAKE_PROFIT
2026-04-02 22:20:00,2026-04-02 23:25:00,COMPRA,1.133,1.1171428571428572,8690.814222296474,-137.81148266784476,-1.3995713024839305,BULLISH,STOP_LOSS
2026-04-03 00:50:00,2026-04-03 01:25:00,COMPRA,1.114,1.1089642857142858,8721.518496703278,-43.91907528696902,-0.4520389843549519,NEUTRO,STOP_LOSS
2026-04-03 01:30:00,2026-04-03 01:55:00,COMPRA,1.115,1.1212678571428571,8676.276667089536,54.381662681222224,0.5621396540679083,NEUTRO,TAKE_PROFIT
2026-04-03 02:20:00,2026-04-03 02:30:00,COMPRA,1.121,1.1302142857142858,8675.92423135771,79.94244470322519,0.8219701796865103,BULLISH,TAKE_PROFIT
2026-04-03 03:35:00,2026-04-03 03:45:00,COMPRA,1.119,1.1255892857142857,8759.299719231507,57.717528507078896,0.588854844887015,NEUTRO,TAKE_PROFIT
2026-04-03 03:50:00,2026-04-03 04:10:00,COMPRA,1.124,1.1185714285714288,8769.117471442865,-47.603780559260485,-0.4829689883070586,BULLISH,STOP_LOSS
2026-04-03 04:45:00,2026-04-03 05:00:00,COMPRA,1.119,1.1255892857142857,8767.886011054945,57.77410603712997,0.588854844887017,NEUTRO,TAKE_PROFIT
2026-04-03 05:20:00,2026-04-03 06:15:00,COMPRA,1.127,1.1364285714285713,8754.347690422146,82.54099250969375,0.8366079350994978,BULLISH,TAKE_PROFIT
2026-04-03 06:20:00,2026-04-03 08:25:00,COMPRA,1.134,1.1440714285714284,8769.456604929424,88.32095580678833,0.888133030990165,BULLISH,TAKE_PROFIT
2026-04-03 08:35:00,2026-04-03 09:40:00,COMPRA,1.143,1.1357142857142857,8773.813384082603,-63.92349751260372,-0.6374203224597114,BULLISH,STOP_LOSS
2026-04-03 10:00:00,2026-04-03 10:45:00,COMPRA,1.138,1.1317857142857142,8758.999451115504,-54.43092516050274,-0.5460708009038339,NEUTRO,STOP_LOSS
2026-04-03 10:55:00,2026-04-03 11:10:00,COMPRA,1.134,1.1306785714285712,8744.296293180747,-29.04355554520953,-0.29289493575209924,NEUTRO,STOP_LOSS
2026-04-03 11:20:00,2026-04-03 11:55:00,COMPRA,1.133,1.1381428571428571,8727.661622858795,44.88511691755957,0.4539150170218137,NEUTRO,TAKE_PROFIT
