strategy,entry_price,exit_price,quantity,profit_usd,profit_pct,exit_reason
Pullback,0.924,0.924,1028.138528138528,-1.8999999999999773,0.0,Trailing
Pullback,0.924,0.93,2003.893398268398,8.308142029221017,0.6493506493506551,Trailing
Breakout,0.954,0.937,3794.829012109811,-71.68811486776531,-1.7819706498951704,FIM_BACKTEST
